month,hour,clim_power_MW
6,7,0.6231986979468029
6,8,0.7373183770918794
6,9,0.7649116118438217
6,10,0.8287081833446143
6,11,0.9980244745626254
6,12,1.2026500538502416
6,13,1.4147585951927175
6,14,1.6224226252122982
6,15,1.7797147129958713
6,16,1.8962231549776372
6,17,1.9030136049567874
6,18,1.5670272939161194
6,19,0.7157410005642119
6,20,0.7301004366097961
6,21,0.7768189879088288
6,22,0.664134670109717
6,23,0.48520660428840806
7,0,0.34583761143982245
7,1,0.26528652770134986
7,2,0.23703892759696005
7,3,0.2405897355969038
7,4,0.25381942638102994
7,5,0.2904520955330473
7,6,0.5336729007894947
7,7,0.8434011487456816
7,8,1.0216524374087386
7,9,1.0700757521984496
7,10,1.0770470416390352
7,11,1.136655537953422
7,12,1.23811558231895
7,13,1.3707662077116776
7,14,1.5382500141991178
7,15,1.7527299051504157
7,16,1.9662329830895968
7,17,2.1056193285772262
7,18,2.0076068488564354
7,19,1.3072691812952792
7,20,1.2032713134695405
7,21,1.0678563835944406
7,22,0.7872144062372298
7,23,0.5184528671541075
8,0,0.3320508064238136
8,1,0.24268677536631
8,2,0.19393737152863877
8,3,0.16181087494517044
8,4,0.1532680326012055
8,5,0.17035662555266234
8,6,0.30627832034733443
8,7,0.6419611843833761
8,8,0.8084605436669418
8,9,0.8252005085281047
8,10,0.8346561820865931
8,11,0.88889275213375
8,12,0.9662398382978684
8,13,1.085168367538062
8,14,1.214710240986943
8,15,1.3428634186017026
8,16,1.5083419773873064
8,17,1.6735238932931606
8,18,1.485734045561097
8,19,1.106496118112999
8,20,1.224959870488291
8,21,1.064645115361269
8,22,0.7796232931324615
8,23,0.5116368062792731
9,0,0.23309896364269775
9,1,0.21110724438679174
9,2,0.18970060110480355
9,3,0.17159254666838375
9,4,0.1631148615451873
9,5,0.15427993260099837
9,6,0.16845248242056388
9,7,0.44106501682955296
9,8,0.6574319345703165
9,9,0.7196150862907063
9,10,0.7551375561357196
9,11,0.8211023835090348
9,12,0.9242731593643537
9,13,1.0335749303852033
9,14,1.1035008066233511
9,15,1.1480819054077176
9,16,1.1700435726071785
9,17,1.0929097106306447
9,18,0.6308364280923555
9,19,0.6168094429211964
9,20,0.6540476973638792
9,21,0.5392798329263498
9,22,0.3968730921761521
9,23,0.28548927711970723
10,0,0.3010977941734724
10,1,0.28164351060930665
10,2,0.2875485579343219
10,3,0.33959411494685765
10,4,0.4079957460349981
10,5,0.43635549605164614
10,6,0.4451222746871867
10,7,0.5501343994179515
10,8,1.1191441561917337
10,9,1.383340085070475
10,10,1.3481006559143405
10,11,1.2361163329106377
10,12,1.190619094761986
10,13,1.1981731275067855
10,14,1.2024540914184658
10,15,1.173947292327236
10,16,1.0914974760386016
10,17,0.5876980764315359
10,18,0.3480382580973765
10,19,0.41766190516625007
10,20,0.43595052035551746
10,21,0.4143939257943029
10,22,0.37313948059854
10,23,0.335273707711093
11,0,0.2387121243106064
11,1,0.2380909858689543
11,2,0.2472260597268899
11,3,0.2520321348538916
11,4,0.2422640895570786
11,5,0.23519528240510462
11,6,0.2247937021933558
11,7,0.22160292510028465
11,8,0.6043556829049448
11,9,0.9323272983170253
11,10,1.1272274686629102
11,11,1.1804167911906571
11,12,1.19845215721555
11,13,1.2758576146522074
11,14,1.3187599304334028
11,15,1.2670157361699654
11,16,0.8782533183776725
11,17,0.3221371964785941
11,18,0.28307553351109777
11,19,0.31300362522348074
11,20,0.2971716384120808
11,21,0.29627702625677715
11,22,0.2833696680135554
11,23,0.2519423543352616
12,0,0.20279121630351768
12,1,0.20000255511410703
12,2,0.19820506648797734
12,3,0.20057621009479923
12,4,0.1976646747713747
12,5,0.19098693818054116
12,6,0.18623756207455042
12,7,0.1870802314314861
12,8,0.3477081701870669
12,9,0.7170527304158693
12,10,0.8475577843915845
12,11,0.9830157929201775
12,12,0.9898809307420293
12,13,0.9912763519355572
12,14,0.9639037756198404
12,15,0.8430288910142312
12,16,0.35411434767107086
12,17,0.11565073447884286
12,18,0.13170834800999356
12,19,0.16229873615181745
12,20,0.20704364287933966
12,21,0.2285853325899786
12,22,0.23061366463356045
12,23,0.22263248068323904
