datetime,GHI,GHI_climatology,power_true_MW,power_clim_MW
2759,0,0.0,0.0,0.0
2760,0,0.0,0.0,0.0
2761,0,0.0,0.0,0.0
2762,0,0.0,0.0,0.0
2763,0,0.0,0.0,0.0
2764,0,0.0,0.0,0.0
2765,0,0.0,0.0,0.0
2766,0,0.31333333333333335,0.0,0.012834133333333338
2767,163,119.78666666666666,6.67648,4.906461866666667
2768,390,329.14666666666665,15.9744,13.481847466666666
2769,613,544.72,25.10848,22.311731200000004
2770,802,736.82,32.84992,30.180147200000004
2771,946,872.08,38.74816,35.7203968
2772,1022,953.2333333333333,41.86112,39.044437333333335
2773,1030,955.1533333333333,42.1888,39.12308053333333
2774,964,895.3333333333334,39.48544,36.672853333333336
2775,842,765.7933333333333,34.48832,31.366894933333334
2776,661,593.6533333333333,27.07456,24.316040533333332
2777,442,384.17333333333335,18.10432,15.735739733333334
2778,211,174.84666666666666,8.64256,7.161719466666668
2779,24,10.56,0.98304,0.4325376
2780,0,0.0,0.0,0.0
2781,0,0.0,0.0,0.0
2782,0,0.0,0.0,0.0
2783,0,0.0,0.0,0.0
2784,0,0.0,0.0,0.0
2785,0,0.0,0.0,0.0
2786,0,0.0,0.0,0.0
2787,0,0.0,0.0,0.0
2788,0,0.0,0.0,0.0
2789,0,0.0,0.0,0.0
2790,0,0.31333333333333335,0.0,0.012834133333333338
2791,164,119.78666666666666,6.71744,4.906461866666667
2792,390,329.14666666666665,15.9744,13.481847466666666
2793,611,544.72,25.02656,22.311731200000004
2794,800,736.82,32.768,30.180147200000004
2795,942,872.08,38.58432,35.7203968
2796,1018,953.2333333333333,41.69728,39.044437333333335
2797,1026,955.1533333333333,42.02496,39.12308053333333
2798,965,895.3333333333334,39.5264,36.672853333333336
2799,839,765.7933333333333,34.36544,31.366894933333334
2800,660,593.6533333333333,27.0336,24.316040533333332
2801,444,384.17333333333335,18.18624,15.735739733333334
2802,214,174.84666666666666,8.76544,7.161719466666668
2803,26,10.56,1.06496,0.4325376
2804,0,0.0,0.0,0.0
2805,0,0.0,0.0,0.0
2806,0,0.0,0.0,0.0
2807,0,0.0,0.0,0.0
2808,0,0.0,0.0,0.0
2809,0,0.0,0.0,0.0
2810,0,0.0,0.0,0.0
2811,0,0.0,0.0,0.0
2812,0,0.0,0.0,0.0
2813,0,0.0,0.0,0.0
2814,0,0.31333333333333335,0.0,0.012834133333333338
2815,167,119.78666666666666,6.84032,4.906461866666667
2816,391,329.14666666666665,16.01536,13.481847466666666
2817,608,544.72,24.90368,22.311731200000004
2818,794,736.82,32.52224,30.180147200000004
2819,934,872.08,38.25664,35.7203968
2820,1013,953.2333333333333,41.49248,39.044437333333335
2821,1020,955.1533333333333,41.7792,39.12308053333333
2822,954,895.3333333333334,39.07584,36.672853333333336
2823,829,765.7933333333333,33.95584,31.366894933333334
2824,652,593.6533333333333,26.70592,24.316040533333332
2825,438,384.17333333333335,17.94048,15.735739733333334
2826,213,174.84666666666666,8.72448,7.161719466666668
2827,27,10.56,1.10592,0.4325376
2828,0,0.0,0.0,0.0
2829,0,0.0,0.0,0.0
2830,0,0.0,0.0,0.0
2831,0,0.0,0.0,0.0
2832,0,0.0,0.0,0.0
2833,0,0.0,0.0,0.0
2834,0,0.0,0.0,0.0
2835,0,0.0,0.0,0.0
2836,0,0.0,0.0,0.0
2837,0,0.0,0.0,0.0
2838,0,0.31333333333333335,0.0,0.012834133333333338
2839,173,119.78666666666666,7.08608,4.906461866666667
2840,397,329.14666666666665,16.26112,13.481847466666666
2841,617,544.72,25.27232,22.311731200000004
2842,804,736.82,32.93184,30.180147200000004
2843,942,872.08,38.58432,35.7203968
2844,1017,953.2333333333333,41.65632,39.044437333333335
2845,1023,955.1533333333333,41.90208,39.12308053333333
2846,961,895.3333333333334,39.36256,36.672853333333336
2847,836,765.7933333333333,34.24256,31.366894933333334
2848,659,593.6533333333333,26.99264,24.316040533333332
2849,444,384.17333333333335,18.18624,15.735739733333334
2850,219,174.84666666666666,8.97024,7.161719466666668
2851,29,10.56,1.18784,0.4325376
2852,0,0.0,0.0,0.0
2853,0,0.0,0.0,0.0
2854,0,0.0,0.0,0.0
2855,0,0.0,0.0,0.0
2856,0,0.0,0.0,0.0
2857,0,0.0,0.0,0.0
2858,0,0.0,0.0,0.0
2859,0,0.0,0.0,0.0
2860,0,0.0,0.0,0.0
2861,0,0.0,0.0,0.0
2862,9,0.31333333333333335,0.36864,0.012834133333333338
2863,172,119.78666666666666,7.04512,4.906461866666667
2864,393,329.14666666666665,16.09728,13.481847466666666
2865,609,544.72,24.94464,22.311731200000004
2866,699,736.82,28.63104,30.180147200000004
2867,858,872.08,35.14368,35.7203968
2868,900,953.2333333333333,36.864,39.044437333333335
2869,926,955.1533333333333,37.92896,39.12308053333333
2870,938,895.3333333333334,38.42048,36.672853333333336
2871,814,765.7933333333333,33.34144,31.366894933333334
2872,638,593.6533333333333,26.13248,24.316040533333332
2873,426,384.17333333333335,17.44896,15.735739733333334
2874,106,174.84666666666666,4.34176,7.161719466666668
2875,26,10.56,1.06496,0.4325376
2876,0,0.0,0.0,0.0
2877,0,0.0,0.0,0.0
2878,0,0.0,0.0,0.0
2879,0,0.0,0.0,0.0
2880,0,0.0,0.0,0.0
2881,0,0.0,0.0,0.0
2882,0,0.0,0.0,0.0
2883,0,0.0,0.0,0.0
2884,0,0.0,0.0,0.0
2885,0,0.0,0.0,0.0
2886,10,29.348387096774193,0.4096,1.2021099354838711
2887,176,204.8516129032258,7.20896,8.39072206451613
2888,401,420.8,16.42496,17.235968
2889,617,632.6258064516129,25.27232,25.912353032258064
2890,803,812.0,32.89088,33.25952
2891,816,941.0516129032258,33.42336,38.54547406451613
2892,1012,1007.8451612903226,41.45152,41.28133780645162
2893,1019,1018.3806451612903,41.73824,41.71287122580645
2894,955,951.2516129032258,39.1168,38.963266064516134
2895,827,820.5612903225806,33.87392,33.61019045161291
2896,648,657.9483870967742,26.54208,26.94956593548388
2897,179,453.8258064516129,7.33184,18.588705032258066
2898,206,240.9806451612903,8.43776,9.87056722580645
2899,24,52.464516129032255,0.98304,2.1489465806451618
2900,0,0.0,0.0,0.0
2901,0,0.0,0.0,0.0
2902,0,0.0,0.0,0.0
2903,0,0.0,0.0,0.0
2904,0,0.0,0.0,0.0
2905,0,0.0,0.0,0.0
2906,0,0.0,0.0,0.0
2907,0,0.0,0.0,0.0
2908,0,0.0,0.0,0.0
2909,0,0.0,0.0,0.0
2910,11,29.348387096774193,0.45056,1.2021099354838711
2911,165,204.8516129032258,6.7584,8.39072206451613
2912,396,420.8,16.22016,17.235968
2913,615,632.6258064516129,25.1904,25.912353032258064
2914,800,812.0,32.768,33.25952
2915,934,941.0516129032258,38.25664,38.54547406451613
2916,1011,1007.8451612903226,41.41056,41.28133780645162
2917,940,1018.3806451612903,38.5024,41.71287122580645
2918,877,951.2516129032258,35.92192,38.963266064516134
2919,752,820.5612903225806,30.80192,33.61019045161291
2920,662,657.9483870967742,27.11552,26.94956593548388
2921,376,453.8258064516129,15.40096,18.588705032258066
2922,218,240.9806451612903,8.92928,9.87056722580645
2923,25,52.464516129032255,1.024,2.1489465806451618
2924,0,0.0,0.0,0.0
2925,0,0.0,0.0,0.0
2926,0,0.0,0.0,0.0
2927,0,0.0,0.0,0.0
2928,0,0.0,0.0,0.0
2929,0,0.0,0.0,0.0
2930,0,0.0,0.0,0.0
2931,0,0.0,0.0,0.0
2932,0,0.0,0.0,0.0
2933,0,0.0,0.0,0.0
2934,13,29.348387096774193,0.53248,1.2021099354838711
2935,180,204.8516129032258,7.3728,8.39072206451613
2936,402,420.8,16.46592,17.235968
